District/Neighborhood,Requesting Business,Rack Address,Application Date,Approved?,Approval Date?,Built?,Number of Racks Proposed,Number of Racks Built,Current State,Notes/Images,,,,,,,
D5/North Philly,TECH Friere Charter School,"2221 N Broad Street, Philadelphia PA 19132",10/15/15,TRUE,10/27/15,FALSE,6,0,Never Built,,,,,,,,
D5/Logan Square,The Church of Jesus Christ of Latter-Day Saints,"1601 Vine Street, Philadelphia PA 19103",8/5/15,TRUE,8/14/15,TRUE,2,2,Operational,,,,,,,,
D5/East Kensington,N/A (Personal residence),"1220 N Mascher St, Philadelphia, PA 19122",11/16/2015,FALSE,N/A,FALSE,1,0,Never Built,No approval stamp on plans. Does not appear on Street View (between 2015 and latest date Apr 2023).,,,,,,,
D1/Callowhill,Hamilton 1220 Square,"1220 Hamilton St, Philadelphia, PA 19123",7/23/2015,TRUE,8/5/2015,FALSE,N/A,0,Never Built,Approval letter; no plans in directory. Does not appear on Street View (between 2015 and latest Mar 2023),,,,,,,
D1/South Philly,Friends of Manton Street Park & Community Garden,"405 Manton St, Philadelphia, PA 19147",12/4/2015,FALSE,N/A,FALSE,2,2,Operational,No approval stamp on plans.,,,,,,,
D1/Old City,"Second and Race Streets, LP","205 Race St, Philadelphia, PA 19106",5/12/2015,TRUE,6/2/2015,FALSE,4,2,Operational,"4 on plans, 2 built",,,,,,,
D5/East Kensington,1350 Mascher Street Associates LP,"1350 N Mascher St, Philadelphia, PA 19122",4/16/15,TRUE,5/26/2015,FALSE,N/A,0,Never Built,"No plans doc, no racks seen on Street View from 2015-latest date (Apr 2023)",,,,,,,
D1/Chinatown,8th & Filbert Streets Garage (Philadelphia Parking Authority),"726 Arch St, Philadelphia PA 19106",5/15/2015,FALSE,9/30/2015,TRUE,13,9,Operational,"If I'm reading the plans right, there were 24 bike racks on the first submission, and 13 racks on the final (fourth!) submission, but I only see 9 racks on Street View",,,,,,,
D1/Center City,Hines Walnut Street Associates LP,"1213 Walnut St, Philadelphia, PA 19107",5/7/2015,TRUE,5/26/2015,FALSE,5,3,Operational,"5 racks proposed on plans, 3 built (1 on Walnut, 2 on Sansom), 2 removed/destroyed, 1 remains.",,,,,,,
D1/Penn's Landing,Bike Share ROW/0004/Foglietta Plaza,"3 Dock St, Philadelphia, PA 19106",2/9/2015,TRUE,2/20/2015,TRUE,19,28,Operational,"19 spots approved, Indego map shows 28 spots",,,,,,,
D5/Fairmount,Bike Share ROW/0006/Eastern State Penitentiary,"2237 Fairmount Ave, Philadelphia, PA 19130",2/9/2015,TRUE,2/20/2015,TRUE,25,37,Operational,"25 spots approved, Indego map shows 37 spots",,,,,,,
D5/Fairmount,Bike Share ROW/0025/Fairmount Ave & N. 20th St,"1940 Fairmount Ave, Philadelphia, PA 19130",2/9/2015,TRUE,2/20/2015,TRUE,13,19,Operational,"13 spots approved, Indego map shows 19 spots",,,,,,,
D5/North Philly,Bike Share ROW/0032/Spring Garden & Broad St,"1415 Spring Garden St, Philadelphia, PA 19130",2/9/2015,TRUE,2/20/2015,TRUE,21,21,Operational,"21 spots approved, Indego map shows 21 spots",,,,,,,
D2/Rittenhouse,Bike Share ROW/0049/Market St & N 23rd St,"2241 Market St, Philadelphia, PA 19103",2/9/2015,TRUE,2/20/2015,TRUE,25,24,Operational,"25 spots approved, Indego map shows 24 spots",,,,,,,
D2/Rittenhouse,Bike Share ROW/0084/Lombard St & 19th St,"1910 Lombard St, Philadelphia, PA 19146",2/9/2015,TRUE,3/6/2015,TRUE,19,29,Operational,"19 spots on plans, first refused for ADA, revised plans for 19 spots approved. Indego map shows 29 spots",,,,,,,
D2/Rittenhouse,Bike Share ROW/0086/S 24th St & Sansom St,"120 S 24th St, Philadelphia, PA 19103",2/9/2015,TRUE,2/20/2015,TRUE,15,15,Operational,"15 spots approved, Indego map shows 15 spots",,,,,,,
D5/North Philly,Bike Share ROW/0106/Girard & Hutchinson,"915 W Girard Ave, Philadelphia, PA 19123",2/9/2015,TRUE,2/20/2015,TRUE,15,14,Operational,"15 spots approved, Indego map shows 14 spots",,,,,,,
D2/South Philly,Bike Share ROW/0148/Broad St & Federal St,"1201 S Broad St, Philadelphia, PA 19147",2/9/2015,TRUE,2/20/2015,TRUE,21,17,Operational,"21 spots approved, Indego map shows 17 spots",,,,,,,
D2/South Philly,Bike Share ROW/0150/Broad St & Fitzwater St,"1336 Fitzwater St, Philadelphia, PA 19147",2/9/2015,TRUE,2/20/2015,TRUE,21,14,Operational,"21 spots approved, Indego map shows 14 spots",,,,,,,
D1/South Philly,Bike Share ROW/0160/S Front St & Carpenter St,"925 S Front St, Philadelphia, PA 19147",2/9/2015,TRUE,2/20/2015,TRUE,21,25,Operational,"21 spots approved, Indego map shows 25 spots",,,,,,,
D1/Chinatown,Bike Share ROW/0199/Arch St & N 9th St,"875 Arch St, Philadelphia, PA 19107",2/9/2015,TRUE,2/20/2015,TRUE,15,18,Operational,"15 spots approved, Indego map shows 18 spots",,,,,,,
D5/Francisville,Bike Share ROW/0248/Girard Ave & N 18th St,"1800 W Girard Ave, Philadelphia, PA 19130",2/9/2015,TRUE,2/20/2015,FALSE,19,0,Never Built,"19 spots approved, Indego map does not show any spots",,,,,,,
D2/South Philly,Bike Share ROW/0277/Point Breeze Ave & Tasker St,"1529 Point Breeze Ave, Philadelphia, PA 19146",2/9/2015,TRUE,2/20/2015,FALSE,19,0,Never Built,"19 spots approved, Indego map does not show any spots",,,,,,,
D1/Gayborhood,Bike Share ROW/0019/S 13th St and Locust St,"1300 Locust St, Philadelphia PA  19107",,FALSE,N/A,TRUE,15,16,Operational,"15 spots on plans, NW corner. Indego shows 16 bikes on NE corner. No approval document in folder.",,,,,,,
D1/Old City,Bike Share ROW/0001/5th and Market,"519 Market St, Philadelphia, PA 19106",,FALSE,N/A,TRUE,21,20,Operational,"21 spots on plans, NW corner. Indego shows 20 bikes. No approval document in folder.",,,,,,,
D5/Temple,Bike Share ROW/0039/Temple University Station,"1076 W Berks St, Philadelphia, PA 19122",,FALSE,N/A,TRUE,19,17,Operational,"19 spots on plans, SW corner. Indego shows 17 bikes. No approval document in folder.",,,,,,,
D2/Center City,Bike Share ROW/0050/15th & Spruce,"1483 Spruce St, Philadelphia, PA 19102",,FALSE,N/A,TRUE,19,21,Operational,"19 spots on plans, SE corner. Indego shows 21 bikes. No approval document in folder.",,,,,,,
D3/University City,Bike Share ROW/0066/40th & Spruce,"246 S 40th St, Philadelphia, PA 19104",,FALSE,N/A,TRUE,17,17,Operational,"17 spots on plans, NW corner. Indego shows 17 bikes. No approval document in folder.",,,,,,,
D3/University City,Bike Share ROW/0076/33rd & Market,"3318 Market St, Philadelphia, PA 19104",,FALSE,N/A,TRUE,15,13,Operational,"15 spots on plans, NW corner. Indego shows 13 bikes. No approval document in folder.",,,,,,,
D5/West Girard,Bike Share ROW/0096/11th & Poplar,"1100 Poplar St, Philadelphia, PA 19123",,FALSE,N/A,TRUE,15,13,Operational,"15 spots on plans, SW corner. Indego shows 13 bikes. No approval document in folder.",,,,,,,
D5/Northern Liberties,Bike Share ROW/0104/6th & Fairmount,"719 N 6th St, Philadelphia, PA 19123",,FALSE,N/A,TRUE,16,22,Operational,"16 spots on plans, SW corner. Indego shows 22 bikes. No approval document in folder.",,,,,,,
D2/South Philly,Bike Share ROW/0139/23rd & Grays Ferry,"671 S 23rd St, Philadelphia, PA 19146",,FALSE,N/A,TRUE,16,20,Operational,"16 spots on plans, NE corner, planned to relocate existing bike rack. Indego shows 20 bikes. No approval document in folder.",,,,,,,
D2/Point Breeze,Bike Share ROW/0140/21st & Catharine,"807 S 21st St, Philadelphia, PA 19146",,FALSE,N/A,TRUE,15,26,Operational,"15 spots on plans, SE corner. Indego shows 26 bikes. No approval document in folder.",,,,,,,
D1/South Philly,Bike Share ROW/0146/11th & Washington,"1084 Washington Ave, Philadelphia, PA 19147",,FALSE,N/A,TRUE,15,14,Operational,"15 spots on plans, NE corner. Indego shows 14 bikes. No approval document in folder.",,,,,,,
D1/Bella Vista,Bike Share ROW/0161/Darien & Catharine,"840 S Darien St, Philadelphia, PA 19147",,FALSE,N/A,TRUE,15,29,Operational,"15 spots on plans, SW corner. Indego shows 29 bikes. No approval document in folder.",,,,,,,
D5/Rittenhouse,Nelson,"1760 Market St, Philadelphia PA 19103",4/19/2016,FALSE,NA,TRUE,2,2,Operational,"Inverted U. No approval doc in folder. Street View shows the racks as far back as Aug '09, so not sure why application in '16.",,,,,,,
D5/Fishtown,Clean Air Council,"1619 Frankford Ave, Philadelphia PA  19125",NA,TRUE,12/6/2016,TRUE,1,1,Operational,"Bright green, leaf-shaped. No application doc in folder.",,,,,,,
D1/Kensington,New Kensington Community Development Corporation,"2721 Ruth St, Philadelphia PA 19134-3407",12/16/2015,FALSE,NA,FALSE,1,0,Never Built,"Not on Street View as of Mar 2023, vacant lot where apts planned. No approval doc in folder.",,,,,,,
D1/Center City,"BJP Chestnut Owner, LLC","1112 Chestnut St, Philadelphia PA 19107",6/21/2016,TRUE,7/7/2016,TRUE,9,7,Operational,"Inverted U. 9 racks approved (5 on Chestnut, 4 on Sansom). 7 racks exist (4 on Chestnut, 3 on Sansom). Chestnut: looks like 3 were built, and 1 was pre-existing where 2 were planned. 3 racks currently on Sansom; 1 looks bent.",,,,,,,
D5/Temple,1324 N Broad LLC,"1324 N Broad St, Philadelphia, PA  19121-4303",1/19/2017,FALSE,NA,FALSE,3,0,Never Built,"No approval doc in folder (""PLAN SET.pdf"" is proposed plans without approval stamp). No racks on Street View April 2023. ",,,,,,,
D1/Center City,NA,"101 N Broad St, Philadelphia, PA 19107",NA,TRUE,3/18/2016,TRUE,2,2,Operational,Inverted U. No application doc in folder.,,,,,,,
D1/Fishtown,Amalgam Comics & Coffeehouse,"2578 Frankford Ave, Philadelphia PA 19125",3/10/2016,TRUE,NA,TRUE,1,1,Operational,"Red chevrons in a blue frame. No date on approval stamp. In folders named ""Clean Air Council Group of 5 Bike Racks/11_16_2016 Submission""",,,,,,,
D5/Fishtown,Philadelphia Record Exchange,"1524 Frankford Ave, Philadelphia PA 19125",6/2/2016,TRUE,NA,TRUE,1,1,Operational,"Trapezoidal shape. No date on approval stamp. In folders named ""Clean Air Council Group of 5 Bike Racks/11_16_2016 Submission""",,,,,,,
D1/Fishtown,Murph's Bar,"202 E Girard Ave, Philadelphia PA",2/24/16,TRUE,NA,FALSE,1,0,Never Built,"Shamrock shape. No date on approval stamp. In folders named ""Clean Air Council Group of 5 Bike Racks/11_16_2016 Submission""",,,,,,,
D5/Fishtown,Cedar Point Bar & Kitchen,"2370 E Norris St, Philadelphia PA 19125",6/8/2016,TRUE,NA,TRUE,1,1,Missing,"Orange Fibonacci spiral. 1 regular inverted U rack next to it not in documents. Built between Aug 2017 and May 2018; taken out between May 2020 and Dec 2021. No date on approval stamp. In folders named ""Clean Air Council Group of 5 Bike Racks/11_16_2016 Submission""",,,,,,,
D1/Fishtown,Firth & Wilson Transport Cycles,"1105 Frankford Ave, Philadelphia PA 19125",3/22/16,TRUE,NA,TRUE,1,1,Operational,"Trellis. No date on approval stamp. In folders named ""Clean Air Council Group of 5 Bike Racks/11_16_2016 Submission""",,,,,,,
D2/Center City,Tindley Temple United Methodist Church,"750 S Broad St, Philadelphia PA 19146",8/22/2016,TRUE,11/4/2016,FALSE,1,0,Never Built,"Inverted U, to be long-term lease from city. ",,,,,,,
D5/Center City,SEPTA,"1500 Market St, Philadelphia PA 19102",2/24/2016,FALSE,NA,TRUE,3,2,Operational,"3 proposed, unknown # approved, 2 built. Existing bike rack to be relocated due to curb bump-out. NW corner of intersection. Bike rack plans on pages 17 and 23, but no approval stamp.",,,,,,,
D5/Center City,South 19th St Hotel,"31 S 19th St, Philadelphia PA 19103",NA,TRUE,12/29/2016,FALSE,5,0,Never Built,"Proposed bike racks are on Ranstead (search for 1899 Ranstead St), not 19th St. No application doc in folder. ",,,,,,,
D5/Fishtown,Fishtown Bikes-n-Beans,"1321 N Front St, Philadelphia PA 19122",2/24/2016,TRUE,5/2/2016,TRUE,1,1,Missing,"Blue and pink irregular pentagon. Disappears between Nov 2019 and May 2022. In folders ""Clean Air Council Group of 6 Bike Racks ROW#2016-1201/4_26_2016 Submission/""",,,,,,,
D7/Fishtown,Fast Ed's Collectibles,"2143 N Front St, Philadelphia PA, 19122",3/8/2016,FALSE,NA,TRUE,1,1,Operational,"Bright green, leaf-shaped. No approval doc in folder. In folders ""Clean Air Council Group of 6 Bike Racks ROW#2016-1201/4_26_2016 Submission/""",,,,,,,
D5/Fishtown,Front Street Cafe,"1247 N Front St, Philadelphia PA 19122",2/5/2016,TRUE,5/2/2016,TRUE,1,1,Operational,"Bright green, leaf-shaped. In folders ""Clean Air Council Group of 6 Bike Racks ROW#2016-1201/4_26_2016 Submission/""",,,,,,,
D7/Fishtown,Tandoor,"1832 N Front St, PHiladelphia PA 19122",2/10/2016,TRUE,5/2/2016,TRUE,1,1,Missing,"Blue and pink irregular pentagon. Disappears between Jul 2017 and Oct 2018. In folders ""Clean Air Council Group of 6 Bike Racks ROW#2016-1201/4_26_2016 Submission/""",,,,,,,
D5/Fishtown,Good Spoon,"1400 N Front St, Philadelphia PA, 19122",NA,TRUE,5/2/2016,TRUE,1,1,Operational,"Bright green, leaf-shaped. Missing application: the file named ""Good Spoon"" is an application for Front St Cafe. Good Spoon closed but was at 1400 N Front St (now Liberty Kitchen who moved from the block south). In folders ""Clean Air Council Group of 6 Bike Racks ROW#2016-1201/4_26_2016 Submission/""",,,,,,,
D7/Kensington,Thang Long,"2536 Kensington Ave, Philadelphia PA, 19125",2/19/2016,TRUE,5/2/2016,TRUE,1,1,Operational,"Bright green, leaf-shaped. In folders ""Clean Air Council Group of 6 Bike Racks ROW#2016-1201/4_26_2016 Submission/""",,,,,,,
D1/South Philly,NA,"405 Manton St, Philadelphia PA 19147",NA,TRUE,4/4/2016,TRUE,2,2,Operational,"Inverted U, bright green. Outside community garden. No application doc.",,,,,,,
D5/North Philly,NA,"655 N Broad St PHILADELPHIA, PA 19123-2418",NA,FALSE,NA,FALSE,NA,0,Unknown,"Only doc in folder is a spec sheet (no application or approval docs). 655 N Broad St has a Santucci's, and I don't see any bike racks either on Broad or the cross St Wallace.",,,,,,,
D1/South Philly,NA,"1111 S Broad St PHILADELPHIA, PA 19147-4410",NA,TRUE,8/27/16,FALSE,3,0,Never Built,Arc type. No application doc in folder.,,,,,,,
D1/Center City,City of Philadelphia Water Department,"1101 Market St, Philadelphia, PA 19107",1/22/16,FALSE,NA,TRUE,3,3,Operational,Inverted U. No approval stamp on plans.,,,,,,,
D5/Logan Square,Sterling Apartments,"1801 JFK Blvd, Philadelphia, PA, 19103",12/6/2016,TRUE,12/16/2016,TRUE,1,1,Missing,"Inverted U. Appears as far back as Jul 2007. Very tilted in Sep 2018, gone by Nov 2019. ",,,,,,,
D7/Fishtown,1834 Frankford LLC,"1834 Frankford Ave, Philadelphia, PA 19125",10/21/2015,FALSE,NA,TRUE,1,1,Operational,No plan or approval docs in folder,,,,,,,
D5/Temple,Temple University,"1816 N 15th St, Philadelphia PA 19121",10/6/2016,FALSE,NA,FALSE,12,17,Operational,"Triangles with rounded top. 5 planned on 15th, 12 (4 groups of 3) planned on W. Montgomery Ave. All 17 in Street View. No approval stamp on plans. 12 more bike racks visible next to door but not on plans (not considered sidewalk, I think)",,,,,,,
D5/Fishtown,NA,"1512 Frankford Ave, Philadelphia, PA 19125",NA,TRUE,12/6/16,FALSE,1,0,Unknown,Asterisk shaped in square frame. Can't see on Street View. No application in folder. Part of Clean Air Council group. Condo at this address.,,,,,,,
D3/West Philly,NA,"3921 Chestnut St, Philadelphia, PA 19104",11/23/2016,FALSE,NA,TRUE,14,3,Operational,"14 inverted U planned, 3 wave built. No approval stamp.",,,,,,,
D1/Center City,Lit Brothers Streetscape,"701 Market St, Philadelphia, PA 19106",5/12/2016,FALSE,NA,FALSE,3,3,Operational,"""Combined Set.pdf"" looks entirely blank to me. There are 3 bike racks with metal hat designs outside Lit Brothers (""Hats trimmed free of charge"")",,,,,,,
D5/Fishtown,NA,"1451 E Columbia Ave, Philadelphia, PA 19125",NA,TRUE,12/6/16,TRUE,1,1,Operational,"Square proposed, circles built. Part of Clean Air Council group. ",,,,,,,
D5/North Philly,Philadelphia Housing Authority,"2013 Ridge Ave, Philadelphia, PA 19121",11/18/2016,FALSE,NA,TRUE,5,4,Operational,"5 proposed, 4 built",,,,,,,
D1/Fishtown,NA,"2233 Frankford Ave, Philadelphia, PA 19125",NA,TRUE,12/6/2016,TRUE,1,1,Operational,"Bright green, leaf-shaped. No application in folder. Part of Clean Air Council group. Circle Thrift at this address.",,,,,,,
D1/Northern Liberties,145 W. Wildey Lot Assoc.,"145 W. Wildey St, Philadelphia, PA 19123",4/11/16,FALSE,NA,TRUE,4,2,Operational,"In folder named ""814-830 Spring Garden St"". 4 proposed, 2 built. Piazza parking garage at this address.",,,,,,,
D5/Brewerytown,Fairmount CDC,"2500 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,
D5/Brewerytown,Fairmount CDC,"2524 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,
,NA,"2533 W Girard Ave, Philadelphia, PA 19130",NA,TRUE,NA,TRUE,1,1,Missing,,,,,,,,
,NA,"2604 W Girard Ave, Philadelphia, PA 19130",NA,TRUE,NA,TRUE,1,1,Missing,"Built between Oct 2016 and Jul 2017, disappears between Jul 2019 and Nov 2020",,,,,,,
D5/Brewerytown,Fairmount CDC,"2533 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,2,2,Operational,"Built between Oct 2016 and Aug 2017, disappears between Jul 2019 and Aug 2021",,,,,,,
D5/Brewerytown,Fairmount CDC,"2604 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,2,1,Operational,1 current (but tilted) although 2 planned,,,,,,,"2500 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2601 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2524 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2621 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2533 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2637 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2604 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2701 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,2,2,Operational,,", Philadelphia, PA 19130",,,,,,"2533 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2702 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2604 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2711 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2601 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2737 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2621 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2800 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2637 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2805 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2701 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2816 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,2,2,Operational,,,,,,,,"2702 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2818 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2711 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Brewerytown,Fairmount CDC,"2831 W Girard Ave, Philadelphia, PA 19130",3/23/2016,TRUE,4/15/2016,TRUE,1,1,Operational,,,,,,,,"2737 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Rittenhouse,Motto Hotel,"31 S 19th St, Philadelphia, PA 19103",12/23/2016,FALSE,,FALSE,5,0,Never Built,"Probably Rejected, utilities put in the location indicated for bike racks",,,,,,,
D5/Olde Kensington,Central Tattoo Studio,"171 W Girard Ave, Philadelphia, PA 19123",2/7/17,FALSE,,FALSE,1,0,Never Built,"Bad Design, glad it wasn't built 8"" flat metal horizontal, more sculpture than rack",,,,,,,
D5/Olde Kensington,Street Side,"165 W Girard Ave, Philadelphia, PA 19123",2017,FALSE,,FALSE,1,0,Never Built,"No room for bike Rack with Utility poles, trees, and planters",,,,,,,
D1/Center City,Cambria Hotel,"219 S Broad St, Philadelphia, PA 19107",3/31/2017,TRUE,7/12/2017,FALSE,7,0,Never Built,"Sad, 7 Bike racks in center city never built after a full footway reconstruction, there are some existing bad bike corrals nearby however",,,,,,,
D5/Fishtown,Fishtown Animal Hospital,"2840 W Girard Ave, Philadelphia, PA 19130",2016,TRUE,12/6/16,TRUE,2,1,Operational,"2 proposed, 1 built, okay shape, rusty but gets repainted",,,,,,,"2800 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Spring Garden,The Hamilton,"2905 W Girard Ave, Philadelphia, PA 19130",3/24/2017,FALSE,,TRUE,6,9,Operational,"6 proposed 9 built?!? no idea how that happened, rusty but good condition",,,,,,,"2805 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D1/Callowhill,Wing Lee Investment,"900 Callowhill St, Philadelphia, PA 19123",3/30/2017,FALSE,,FALSE,16,0,Never Built,"Project fell through, still a parking lot",,,,,,,
D2/Point Breeze,Mattel Family Pizza,"1258 Point Breeze Ave, Philadelphia, PA 19146",4/25/2017,FALSE,,FALSE,1,0,Never Built,"Worst plans I have ever seen, written on a napkin, buisness went under",,,,,,,
D2/Center City,The Royal,"1520 South St, Philadelphia, PA 19146",2017,FALSE,,FALSE,2,0,Never Built,"Removed Exisiting bike rack, none installed to replace it probably entrance issues",,,,,,,
D5/Franklintown,IVY Realties,"1600 Callowhill St, Philadelphia, PA 19130",7/28/2017,FALSE,,FALSE,4,0,Never Built,"Confusing, I see no reason these wouldn't be built, maybe rejected?",,,,,,,
D5/Rittenhouse,,"1700 Sansom St, Philadelphia, PA 19103",7/11/2017,FALSE,,FALSE,3,0,Never Built,"Rejected, Footway was already less than 6'",,,,,,,
D3/University City,Stratford Hamilton LP,"3618 Chestnut St, Philadelphia, PA 19104",2/6/2017,FALSE,,TRUE,4,5,Operational,"4 proposed 5 built? good condition, bad design. ",,,,,,,"2816 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D1/Center City,Fashion DIstrict,"901 Market St, Philadelphia, PA 19107",3/17/17,FALSE,,TRUE,26,11,Operational,"26 proposed, many never were built, some removed in 2022 construction and never replaced",,,,,,,"2818 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D5/Fishtown,Green Aisle Grocery,"11 W Girard Ave, Philadelphia, PA 19123",1/10/2017,FALSE,,FALSE,1,0,Never Built,"Bad Design, fibonachi spiral again, bad design, buisness closed",,,,,,,
D5/Center City,JFK/Love Park,"1500 Arch St, Philadelphia, PA  19102",7/29/2017,FALSE,,TRUE,16,16,Operational,"These look good, did you know that Love Park is privately owned???",,,,,,,"2831 W Girard Ave, Philadelphia, PA 19130, Philadelphia, PA 19130"
D2/Passyunk,Licoln Square Property LLC,"1000 S Broad St, Philadelphia, PA 19146",12/5/2016,FALSE,,TRUE,20,20,Operational,Looking good!,,,,,,,
D5/Yorktown,View II,"1101 Cecil B Moore Ave, Philadelphia, PA 19122",7/3/2017,FALSE,,TRUE,12,12,Operational,U rack proposed but some circular racks were built,,,,,,,
